,Rodada,Tempo,Presas,Predadores,Alpha,Beta,Gamma,Delta,x0,y0,Resultado,Ambiente,Anos
0,1,0.0,60.0,140.0,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
1,1,0.01,59.856,139.664,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
2,1,0.02,59.71355229696,139.32759970304,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
3,1,0.03,59.57264885606512,138.9908188594984,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
4,1,0.04,59.43328167443348,138.65367702110944,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
5,1,0.05,59.29544278198459,138.31619354147827,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
6,1,0.060000000000000005,59.15912424227886,137.97838757662703,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
7,1,0.07,59.02431815332883,137.64027808557097,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
8,1,0.08,58.891016648382674,137.30188383092366,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
9,1,0.09,58.7592118966805,136.96322337953058,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
10,1,0.09999999999999999,58.628896104183966,136.62431510313002,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
11,1,0.10999999999999999,58.500061514279864,136.28517717904043,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
12,1,0.11999999999999998,58.37270040845804,135.9458275908737,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
13,1,0.12999999999999998,58.24680510696427,135.60628412927298,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
14,1,0.13999999999999999,58.12236796942861,135.26656439267478,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
15,1,0.15,57.99938139546969,134.92668578809423,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
16,1,0.16,57.877837825275485,134.58666553193268,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
17,1,0.17,57.75772974016103,134.24652065080718,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
18,1,0.18000000000000002,57.63904966310362,133.90626798240072,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
19,1,0.19000000000000003,57.521790159255936,133.56592417633263,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
20,1,0.20000000000000004,57.40594383643759,133.22550569504853,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
21,1,0.21000000000000005,57.291503345605555,132.88502881472888,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
22,1,0.22000000000000006,57.17846138130399,132.5445096262157,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
23,1,0.23000000000000007,57.06681068209382,132.2039640359564,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
24,1,0.24000000000000007,56.956544030962654,131.8634077669644,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
25,1,0.25000000000000006,56.84765425571532,131.52285635979572,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
26,1,0.26000000000000006,56.740134229345664,131.1823251735409,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
27,1,0.2700000000000001,56.63397687038987,130.84182938683153,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
28,1,0.2800000000000001,56.52917514326181,130.50138399886094,0.6,0.006,0.6,0.006,60,140,Ganhou,Aquático,20
